STATUS	https://gamesdb.launchbox-app.com/	200
STATUS	https://gamesdb.launchbox-app.com/Metadata.zip	200
STATUS	https://images.launchbox-app.com/	404
STATUS	https://gamesdb.launchbox-app.com/games/search?search=pokemon	200
GAME	174555	Pokémon Polka Aqua	Nintendo Game Boy Advance
GAME	123007	Pokémon Prism	Nintendo Game Boy Color
GAME	457239	Pokémon Professor Oak Challenge 	Nintendo Game Boy
GAME	471750	Pokémon Puffy Pink	Nintendo Game Boy Advance
GAME	478507	Pokémon Pure Silver	Nintendo Game Boy Color
GAME	470489	Pokémon PureBlue	Nintendo Game Boy
GAME	470490	Pokémon PureGreen	Nintendo Game Boy
GAME	452984	Pokémon PureRed	Nintendo Game Boy
GAME	19067	Pokémon Puzzle Challenge	Nintendo Game Boy Color
GAME	128735	Pokémon Pyrite	Nintendo Game Boy Color
GAME	128830	Pokémon Quartz	Nintendo Game Boy Advance
GAME	471846	Pokémon Quartz Minus	Nintendo Game Boy Advance
GAME	423954	Pokémon Quetzal	Nintendo Game Boy Advance
GAME	212287	Pokémon R.O.W.E.	Nintendo Game Boy Advance
GAME	194616	Pokémon Radical Red	Nintendo Game Boy Advance
GAME	451034	Pokémon Recharged Emerald	Nintendo Game Boy Advance
GAME	451024	Pokémon Recharged Yellow	Nintendo Game Boy Advance
GAME	470696	Pokémon Record Keepers	Nintendo Game Boy Advance
GAME	463032	Pokémon Red & Blue G1S	Nintendo Game Boy Color
GAME	218000	Pokémon Red Advanced	Nintendo Game Boy
GAME	174211	Pokémon Red Blood	Nintendo Game Boy
GAME	179943	Pokémon Red DX	Nintendo Game Boy
GAME	463702	Pokémon Red Rumor	Nintendo Game Boy
GAME	182088	Pokémon Red Upgrade	Nintendo Game Boy
GAME	2356	Pokémon Red Version	Nintendo Game Boy
GAME	479986	Pokémon Red Version Full Color Hack	Nintendo Game Boy Color
GAME	128628	Pokémon Red++	Nintendo Game Boy Color
GAME	128831	Pokémon Resolute	Nintendo Game Boy Advance
GAME	450832	Pokémon Revelation	Nintendo Game Boy Advance
GAME	423565	Pokémon Rising Crystal	Nintendo Game Boy Color
GAME	463709	Pokémon Roaming Red	Nintendo Game Boy
GAME	128832	Pokémon Rocket Science	Nintendo Game Boy Advance
GAME	174556	Pokémon Rocket Strike	Nintendo Game Boy Advance
GAME	182087	Pokémon Rocket: James Version	Nintendo Game Boy
GAME	454098	Pokémon Ruby	Nintendo Game Boy Color
GAME	128836	Pokémon Ruby Destiny Life of Guardians	Nintendo Game Boy Advance
GAME	128834	Pokémon Ruby Destiny Reign of Legends	Nintendo Game Boy Advance
GAME	128835	Pokémon Ruby Destiny Rescue Ranges	Nintendo Game Boy Advance
GAME	212676	Pokémon Ruby Stars	Nintendo Game Boy Advance
GAME	2363	Pokémon Ruby Version	Nintendo Game Boy Advance
GAME	457185	Pokémon Run & Bun	Nintendo Game Boy Advance
GAME	467389	Pokémon STRIKE! Yellow Version	Nintendo Game Boy
GAME	173233	Pokémon Saffron	Nintendo Game Boy Advance
GAME	174571	Pokémon Saiph	Nintendo Game Boy Advance
